4, 4, 5, 6, 6, 5, 6, 7, 5, 7
8, 7, 5, 5, 1, 6, 6, 5, 6, 9
6, 7, 8, 8, 5, 6, 8, 6, 7, 7
11, 10, 9, 11, 8, 10, 11, 9, 9, 11
15, 12, 12, 12, 13, 17, 13, 12, 12, 15
18, 14, 14, 18, 14, 15, 16, 15, 17, 14
12, 17, 16, 20, 16, 17, 20, 14, 18, 16
22, 17, 24, 21, 18, 20, 22, 16, 22, 22
20, 21, 20, 27, 24, 20, 23, 23, 23, 22
24, 24, 23, 22, 24, 23, 21, 24, 21, 24
21, 24, 27, 24, 28, 25, 21, 28, 23, 23
28, 25, 27, 27, 25, 24, 28, 29, 20, 27
31, 29, 28, 29, 34, 29, 28, 31, 32, 32
32, 34, 34, 31, 36, 33, 35, 32, 35, 35
36, 35, 35, 34, 39, 33, 35, 38, 32, 37
